,GameId,index,Unnamed: 0,Joueurs,Résultat,Précision,Coups,Date,Unnamed: 6,Link,Countries_w,Countries_b
573,d905dfa891c000acc96e54edd87b92ddcb3a8dbd,23,1 min,sorodax  (521)  4DTrumpChess  (548),0  1,Analyser,25,22 févr. 2022,,https://www.chess.com/game/live/39299967891,'Comoros','United States'
574,ca7aace39403cffc5a8ad4bd90274149c46e7b17,24,1 min,sorodax  (529)  Maxhen62  (548),0  1,Analyser,28,22 févr. 2022,,https://www.chess.com/game/live/39299924989,'Comoros','France'
575,3b73dae16a9826d90c6be36e9c018ed9832f6126,25,1 min,Yoeee123  (555)  sorodax  (537),1  0,76.4  52.7,27,22 févr. 2022,,https://www.chess.com/game/live/39299442777,'Sweden','Comoros'
576,b4dc53ccff9a2938d8857ebd5ce1c1018af1773e,26,1 min,sorodax  (545)  ic3creamsandwich  (576),1  0,80.4  79.2,27,22 févr. 2022,,https://www.chess.com/game/live/39299387283,'Comoros','United States'
577,c3688866733d5c69ade159ec0b623b25debc6796,27,1 min,StickyActress  (564)  sorodax  (536),1  0,Analyser,22,22 févr. 2022,,https://www.chess.com/game/live/39286283541,'Iran','Comoros'
578,e15a7848db3c1e41c38ec08d0b2718870b14b9f0,28,1 min,Andyrambohug  (576)  sorodax  (544),0  1,81.6  77,32,22 févr. 2022,,https://www.chess.com/game/live/39286233579,'Chile','Comoros'
579,e5ee65854294bf821389ad457794b233dd5fe9cf,29,1 min,sorodax  (535)  DesiAnt  (578),0  1,Analyser,36,22 févr. 2022,,https://www.chess.com/game/live/39286175983,'Comoros','Italy'
580,f97af6179445e93a772f85a9ced66ca716a4aac8,30,1 min,FrancescoCM  (528)  sorodax  (543),0  1,78.6  68.9,33,22 févr. 2022,,https://www.chess.com/game/live/39278918753,'Italy','Comoros'
581,6fb27bf066e63a1b015b6e733efc17a3e298ea02,31,3 min,sorodax  (523)  nobby123456789  (494),1  0,65.2  39.8,15,22 févr. 2022,,https://www.chess.com/game/live/39273007729,'Comoros','San Marino'
582,34d47f979e742eea18338d0edbd95a451b9719e5,32,1 min,jlynch78  (660)  sorodax  (535),1  0,Analyser,26,22 févr. 2022,,https://www.chess.com/game/live/39269920155,'Ireland','Comoros'
583,f1c276aa64042da947569b2b515ab8220484dc5a,33,1 min,sorodax  (540)  leematthew1108  (556),1  0,60.3  39.4,19,22 févr. 2022,,https://www.chess.com/game/live/39261559143,'Comoros','United States'
584,1dac06497091f90907a46912ca30fc42a1c17a38,34,1 min,sorodax  (531)  Tokyodurr  (532),1  0,76.9  88.4,29,22 févr. 2022,,https://www.chess.com/game/live/39253170295,'Comoros','United States'
585,35718055fcdca2bdb757e2bc64528b75dd0f50d9,35,10 min,lazyvassili  (942)  sorodax  (926),1  0,74.2  60.5,39,21 févr. 2022,,https://www.chess.com/game/live/39214241257,'France','Comoros'
586,3e74d21fd115a4d88e4b73e48ff4c3dddf80f9c5,36,10 min,sorodax  (934)  OGSilberstein  (938),1  0,100  100,3,21 févr. 2022,,https://www.chess.com/game/live/39214210607,'Comoros','United States'
587,9e4b8872a09570a67eec583a9525ee46e1cb7c63,37,3 min,calutattoo  (538)  sorodax  (515),½  ½,86.2  78.8,53,21 févr. 2022,,https://www.chess.com/game/live/39201014117,'Brazil','Comoros'
588,9c101b67f89074c3084f3a85d32de8166709d515,38,3 min,sorodax  (514)  mtnew  (514),0  1,60.1  60.5,28,21 févr. 2022,,https://www.chess.com/game/live/39195060827,'Comoros','United States'
589,ae062c52dbf79c7679e19110e4e3ccf53c843c32,39,3 min,AchmadAdiputra  (488)  sorodax  (522),0  1,24.5  26.6,22,21 févr. 2022,,https://www.chess.com/game/live/39185396695,'Indonesia','Comoros'
590,c05ca4df2ab0d0e92ac8bdb5c489c40292b01c71,40,3 min,sorodax  (514)  onetrick19  (496),1  0,68.2  62.9,35,21 févr. 2022,,https://www.chess.com/game/live/39177553093,'Comoros','Canada'
591,7c23fa1ad03131ac33d0f437b4fe4f38f151a6b4,41,10 min,DefNot1  (949)  sorodax  (925),1  0,76  65.9,38,20 févr. 2022,,https://www.chess.com/game/live/39119340687,'United States','Comoros'
592,f7ea7d8414ec70c6fa3724d9308485240e44b766,42,10 min,AfricanLeopard  (1010)  sorodax  (933),1  0,Analyser,40,20 févr. 2022,,https://www.chess.com/game/live/39069563407,'Turkey','Comoros'
593,bfd64fab094e69bbfdf717a5d38b69208bb2e8d9,43,5 min,htsfirm  (534)  sorodax  (506),1  0,77.9  71.6,36,20 févr. 2022,,https://www.chess.com/game/live/39063560923,'Brazil','Comoros'
594,43a2efc91dece69f6c5cfb48ba4a24a927b8d6a6,44,10 min,sorodax  (940)  deakka  (960),0  1,50.5  68.7,24,19 févr. 2022,,https://www.chess.com/game/live/39033614977,'Comoros','Sweden'
595,7c35f2288a7d8a32276bdbd5972c81c26d174f3d,45,10 min,sorodax  (948)  mateo1224  (973),0  1,63.2  61,48,19 févr. 2022,,https://www.chess.com/game/live/39020466455,'Comoros','United States'
596,0352c96153e25995d02eadd40dd0f6de370e2f92,46,10 min,Laserspaider  (952)  sorodax  (956),1  0,67.2  56,28,19 févr. 2022,,https://www.chess.com/game/live/39016840927,'United States','Comoros'
597,c3927981bf66092ff05871100e2a3f266ff545f2,47,10 min,sorodax  (964)  DriverosAngel  (1002),0  1,Analyser,43,19 févr. 2022,,https://www.chess.com/game/live/39001772677,'Comoros','Indonesia'
598,78b0850a70af28d8647ec67866f51a7a564c9ec9,48,10 min,sorodax  (971)  colorlace  (997),0  1,62.7  79.6,29,18 févr. 2022,,https://www.chess.com/game/live/38959130195,'Comoros','United States'
599,7398bd18b8f6ab5effaaae935169c890205058a9,49,10 min,Ronyerba  (996)  sorodax  (979),0  1,98.5  76.8,12,18 févr. 2022,,https://www.chess.com/game/live/38958528233,'Spain','Comoros'
600,e112c080d199c4db7779bd3d0aca5ce2ae405a93,0,10 min,sorodax  (970)  psab64  (980),1  0,71.1  68,67,18 févr. 2022,,https://www.chess.com/game/live/38948454281,'Comoros','Iran'
601,5ca475b907c73eec68c6cb8a433fb2f0e637dd08,1,10 min,sorodax  (961)  Tomaccio  (963),1  0,92.9  67.7,22,18 févr. 2022,,https://www.chess.com/game/live/38947146425,'Comoros','Chile'
602,728561c84378d11d794698942725036f2bf148bb,2,3 min,LeoFlexi  (609)  sorodax  (514),1  0,Analyser,46,18 févr. 2022,,https://www.chess.com/game/live/38940051961,'Argentina','Comoros'
603,ed37658991ea337ad50083ad2d9b15de10415fab,3,1 min,Cortical2021  (628)  sorodax  (523),1  0,Analyser,25,18 févr. 2022,,https://www.chess.com/game/live/38939477181,'United States','Comoros'
604,ebef355aa83b8e6f8b931a26feb77765dcbe670c,4,1 min,trebe2810  (516)  sorodax  (529),0  1,56.2  58.6,24,18 févr. 2022,,https://www.chess.com/game/live/38935722685,'Germany','Comoros'
605,e40b4288afb76591ca484e8e2a960215295509cd,5,1 min,sorodax  (521)  trebe2810  (524),0  1,49  64.2,32,18 févr. 2022,,https://www.chess.com/game/live/38935246705,'Comoros','Germany'
606,f9a86f043158c17452edbd34fa1d40d5ad9bc065,6,1 min,kumarmurmu  (520)  sorodax  (529),0  1,89.5  75.1,27,18 févr. 2022,,https://www.chess.com/game/live/38927973073,'India','Comoros'
607,7954b841bfb968f13e35949b5711b9e666a95fc1,7,1 min,Hombremagico  (438)  sorodax  (521),0  1,82.5  81.8,8,18 févr. 2022,,https://www.chess.com/game/live/38927946397,'United States','Comoros'
608,e72f9b30b3b76621519821e2990e41a8fe5fe141,8,10 min,sorodax  (952)  rmss2  (1019),0  1,59.7  63.7,30,18 févr. 2022,,https://www.chess.com/game/live/38926825529,'Comoros','India'
609,b2cb7fa4efe972a0edb23c4d3615ed5cd10c1295,9,10 min,sorodax  (959)  yaryar3  (978),1  0,88.5  75.5,10,18 févr. 2022,,https://www.chess.com/game/live/38926768559,'Comoros','United Kingdom'
610,9f4d3e245845301b2cb4b57dfef349be8bc487eb,10,3 min,sorodax  (520)  glaubersantos1989  (526),1  0,68.4  59.8,49,17 févr. 2022,,https://www.chess.com/game/live/38845196407,'Comoros','Brazil'
611,877487e3565d1295ba5aa6d03403e05b6dd425cb,11,1 min,sorodax  (513)  LeoBH  (468),1  0,40.2  34.9,22,16 févr. 2022,,https://www.chess.com/game/live/38769644735,'Comoros','Belgium'
612,4341a918cd4a295ef50fc52d16c27a234379ae7b,12,1 min,matthewk26  (537)  sorodax  (505),0  1,69.1  60.9,26,16 févr. 2022,,https://www.chess.com/game/live/38768349039,'United States','Comoros'
613,aed456871138ad6271f246d700c00f454c85eb0d,13,5 min,sorodax  (511)  TanyaNick  (519),0  1,50.9  61.6,32,16 févr. 2022,,https://www.chess.com/game/live/38767729431,'Comoros','Indonesia'
614,9542965c71851d458e1114bbf2d6205db0ea3dc9,14,5 min,Saintly_0ne  (526)  sorodax  (519),0  1,34.1  40.3,22,16 févr. 2022,,https://www.chess.com/game/live/38762401371,'United States','Comoros'
615,5702a31b2543e7ec5a6d2ecb946ca5ece20353df,15,10 min,jasperbe31  (967)  sorodax  (950),1  0,82.2  64.3,20,16 févr. 2022,,https://www.chess.com/game/live/38752152191,'Germany','Comoros'
616,2f40b17ca6eee339add7c528d4eddf406b30b97f,16,3 min,sorodax  (510)  aleksandra1965  (512),0  1,69.5  76,31,16 févr. 2022,,https://www.chess.com/game/live/38744999231,'Comoros','Croatia'
617,b40a489ba1f7cb9e83aa31dc8eeeef8e3b7901fa,17,1 min,Rugbyry15  (555)  sorodax  (496),1  0,Analyser,26,16 févr. 2022,,https://www.chess.com/game/live/38741658651,'United States','Comoros'
618,a7d719a5d9f3b53be43cf8577188c731f6bb7c80,18,10 min,magnuscarlset  (967)  sorodax  (958),1  0,85.2  82,61,16 févr. 2022,,https://www.chess.com/game/live/38730860385,'Romania','Comoros'
619,7d5755e143f31936cc0260b4e4e431a382cf5b21,19,10 min,sorodax  (966)  Shein24  (983),1  0,73.9  65,54,15 févr. 2022,,https://www.chess.com/game/live/38693128625,'Unknown','Unknown'
620,b9c5388b59e636a025db49aded481d9586480b89,20,10 min,rayoplayo  (968)  sorodax  (957),0  1,70.4  82.6,20,15 févr. 2022,,https://www.chess.com/game/live/38692524531,'United Kingdom','Comoros'
621,5ba67ec7c90bb55903aff80db3bd07b8f5b9ca1e,21,1 min,tyrantaml  (489)  sorodax  (503),0  1,66.6  82,24,15 févr. 2022,,https://www.chess.com/game/live/38691969059,'United States','Comoros'
